time,Experiment,ESM,Source,burntFractionAll,grid_area,BA_area_pred
2001-12-31,historical,EC-Earth3-CC,historical (CMIP6) - EC-Earth3-CC,271.0643,505792698.2157188,148.20449421354255
2002-12-31,historical,EC-Earth3-CC,historical (CMIP6) - EC-Earth3-CC,343.99973,505792698.2157188,189.1251029019915
2003-12-31,historical,EC-Earth3-CC,historical (CMIP6) - EC-Earth3-CC,317.42975,505792698.2157188,172.88213153007854
2004-12-31,historical,EC-Earth3-CC,historical (CMIP6) - EC-Earth3-CC,261.05142,505792698.2157188,143.4872107992928
2005-12-31,historical,EC-Earth3-CC,historical (CMIP6) - EC-Earth3-CC,229.6016,505792698.2157188,125.179171053007
2006-12-31,historical,EC-Earth3-CC,historical (CMIP6) - EC-Earth3-CC,387.11523,505792698.2157188,214.6638095899272
2007-12-31,historical,EC-Earth3-CC,historical (CMIP6) - EC-Earth3-CC,315.22333,505792698.2157188,173.46744863538456
2008-12-31,historical,EC-Earth3-CC,historical (CMIP6) - EC-Earth3-CC,265.521,505792698.2157188,144.44197571722947
2009-12-31,historical,EC-Earth3-CC,historical (CMIP6) - EC-Earth3-CC,343.9071,505792698.2157188,189.50840098606406
2010-12-31,historical,EC-Earth3-CC,historical (CMIP6) - EC-Earth3-CC,213.42252,505792698.2157188,115.25524415409446
2011-12-31,historical,EC-Earth3-CC,historical (CMIP6) - EC-Earth3-CC,405.06717,505792698.2157188,222.4498606322756
2012-12-31,historical,EC-Earth3-CC,historical (CMIP6) - EC-Earth3-CC,328.56757,505792698.2157188,183.07102688681832
2013-12-31,historical,EC-Earth3-CC,historical (CMIP6) - EC-Earth3-CC,301.2047,505792698.2157188,166.83935874755701
2014-12-31,historical,EC-Earth3-CC,historical (CMIP6) - EC-Earth3-CC,383.8775,505792698.2157188,209.25306975157557
2000-12-31,historical,NorESM2-LM,historical (CMIP6) - NorESM2-LM,79.372475,510017987.8256495,425.7647254354315
2001-12-31,historical,NorESM2-LM,historical (CMIP6) - NorESM2-LM,70.88754,510017987.8256495,381.38070554976474
