time,Fire Model,Experiment,ESM,Source,BA_area_pred
1894-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,546.7297765585797
1895-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,526.964915744523
1896-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,478.1885027180254
1897-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,517.5024685027405
1898-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,511.36530858675314
1899-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,529.014692290372
1900-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,547.620172424848
1901-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,544.8145459966003
1902-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,520.8300788107255
1903-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,543.1339693689793
1904-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,558.7622157222562
1905-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,533.8982110758021
1906-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,496.5270502850141
1907-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,527.998935703583
1908-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,518.0421617376688
1909-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,524.8102888791625
1910-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,525.820321536177
1911-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,563.4890624151227
1912-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,550.0237477231575
1913-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,504.5624881141116
1914-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,513.8588259101174
1915-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,549.2975008561132
1916-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,522.8214333789599
1917-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,543.4545245101993
1918-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,560.3706844117083
1919-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,533.4993830050772
1920-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,564.9953948318692
1921-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,544.777182086615
1922-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,525.890305045181
1923-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,554.0227363453938
1924-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,548.8067545213161
